;marca;preço
141;Bateria Para Notebook Samsung Rc Series Rc410 | 4400 Mah 10.8 V;R$ 163,13
142;Bateria Para Notebook Samsung Np Series Np350v5c-s08au | 4400 Mah 10.8 V;R$ 163,13
143;Bateria Para Notebook Asus X551ma-sx057d | 2200 Mah;R$ 176,39
144;Bateria Para Notebook Asus X551ca-sx026d | 2200 Mah;R$ 176,39
145;Bateria Para Notebook Hp Pavilion Dv7-4000 Cto | 6600 Mah;R$ 249,16
146;Fonte Carregador Para Notebook Cce Win T345 | 19v 3.42a 65w Pino 5.5 X 2.5 Mm;R$ 63,58
147;Bateria Para Notebook Acer Aspire A315-51-39cg | 2200 Mah 11.4 V;R$ 188,50
148;Bateria Para Notebook Samsung Part Number Aa-pb9mcb | 4400 Mah 10.8 V;R$ 163,13
149;Bateria Para Notebook Hp Pavilion Dv4-1414tx | 6600 Mah;R$ 177,66
150;Fonte Para Notebook Hp Pavilion | 18.5v 6.5a 120w Pino 7.4 Mm 5.0 Mm;R$ 126,86
151;Fonte Carregador Para Notebook Acer Aspire E5-573 | 19v 4.74a 90w Pino 5.5 X 1.7 Mm;R$ 97,26
152;Fonte Carregador Para Notebook Positivo Sim 60 | 19v 3.42a 65w Pino 5.5 X 2.5 Mm;R$ 63,58
153;Bateria Para Notebook Hp Pavilion G6-1313el | 6600 Mah;R$ 249,16
154;Fonte Carregador Para Notebook Hp 14-ac139br | 19.5v 3.33a 65w Pino 4.5 X 3.0 Mm;R$ 76,35
155;Bateria Para Notebook Samsung Np530u3c-ad4br | Polímero;R$ 275,36
156;Bateria Para Notebook Samsung P Series P580-js02au | 4400 Mah 10.8 V;R$ 163,13
157;Bateria Para Notebook Hp Pavilion Dm4-1165dx | 6600 Mah;R$ 248,04
158;Fonte Carregador Para Notebook Apple Macbook Air A1244 | 14.5v 3.1a 45w Pino Magsafe L;R$ 153,30
159;Bateria Para Notebook Asus X551ca-sx155h | 2200 Mah;R$ 176,39
160;Fonte Carregador Para Notebook Philco 14m-r743lm | 19v 1.58a 30w Pino 4.8 X 1.7 Mm;R$ 56,72
161;Bateria Para Notebook Acer E732-382g32mikk | 6600 Mah;R$ 214,46
162;Fonte Carregador Para Notebook Apple Macbook Late 2006 Core | 16.5v 3.65a 60w Pino Magsafe L;R$ 114,81
163;Bateria Para Notebook Acer Nitro 5 An515-51-78d6 | 2200 Mah 11.4 V;R$ 188,50
164;Bateria Para Notebook Acer Aspire A315-41-r0gh | 2750 Mah 15.2 V;R$ 248,62
165;Bateria Para Notebook Hp Pavilion G42-250la | 6600 Mah;R$ 249,16
166;Bateria Para Notebook Dell Part Number E204007 | 2200 Mah;R$ 176,09
167;Fonte Para Notebook Dell Inspiron Mini 10;R$ 49,02
168;Bateria Para Notebook Asus X551mav-sx942h | 2200 Mah;R$ 176,39
169;Bateria Para Notebook Dell Inspiron I15-5566-a50p (2014-2016) | Preto 2200 Mah;R$ 196,31
170;Fonte Carregador Para Notebook Toshiba Satellite L655d | 19v 3.42a 65w Pino 5.5 X 2.5 Mm;R$ 63,58
171;Bateria Para Notebook Samsung Np Series Np-rv411-cd1br | 6600 Mah 10.8 V;R$ 287,88
172;Fonte Carregador Para Notebook Acer Aspire 5733z | 19v 4.74a 90w Pino 5.5 X 1.7 Mm;R$ 97,26
173;Bateria Para Notebook Hp Compaq Cq43-176la | 6600 Mah;R$ 249,16
174;Fonte Carregador Para Notebook Positivo Unique 85 | 19v 3.42a 65w Pino 5.5 X 2.5 Mm;R$ 63,58
175;Bateria Para Notebook Asus R510vb | 4 Células;R$ 127,75
176;Bateria Para Notebook Hp Pavilion G7-1075dx | 6600 Mah;R$ 249,16
177;Fonte Carregador Para Notebook Sony Vaio Svp11214cxs | 10.5v 4.3a 45w Pino 4.8 X 1.7 Mm;R$ 51,33
178;Bateria Para Notebook Acer Aspire Sf314-511-58k4 | Lítio-Polegadasímero;R$ 248,62
179;Bateria Para Notebook Hp Pavilion Dv4-1160tx | 6600 Mah;R$ 177,66
